Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
205,Larry Hughes\hughela01,SG,31,CHA,14,2,21.1,2.5,7.6,0.327,1.1,3,0.357,1.4,4.6,0.308,0.397,2.1,2.4,0.853,0.5,1.8,2.3,2,0.9,0.3,1.4,1.2,8.1
206,Kris Humphries\humphkr01,PF,24,TOT,69,0,17.7,2.6,5.9,0.441,0,0,0,2.6,5.9,0.442,0.441,1.8,2.8,0.668,1.7,3.7,5.5,0.5,0.5,0.7,1,2.1,7.1
206,Kris Humphries\humphkr01,PF,24,DAL,25,0,12.6,2.1,4.6,0.461,0,0,,2.1,4.6,0.461,0.461,1,1.8,0.568,1.5,2.3,3.8,0.3,0.3,0.4,0.5,1.7,5.2
206,Kris Humphries\humphkr01,PF,24,NJN,44,0,20.6,2.9,6.7,0.433,0,0,0,2.9,6.6,0.435,0.433,2.3,3.3,0.699,1.9,4.6,6.4,0.6,0.7,0.8,1.2,2.3,8.1
207,Chris Hunter\huntech01,C,25,GSW,60,9,13.1,1.8,3.6,0.502,0,0.1,0,1.8,3.6,0.512,0.502,0.9,1.2,0.754,0.9,1.9,2.8,0.6,0.2,0.6,0.5,2.2,4.5
208,Lindsey Hunter\hunteli01,PG,39,CHI,13,0,9.4,0.4,2.3,0.167,0.1,1,0.077,0.3,1.3,0.235,0.183,0.2,0.2,1,0.1,1,1.1,0.7,0.1,0,0.3,0.9,1
209,Othello Hunter\hunteot01,SF,23,ATL,7,0,4.7,0.6,1.7,0.333,0,0,,0.6,1.7,0.333,0.333,0.4,0.6,0.75,0.9,0.9,1.7,0,0,0.1,0.4,0.7,1.6
210,Steven Hunter\huntest01,C,28,MEM,21,0,7.5,0.8,2,0.395,0,0,,0.8,2,0.395,0.395,0.9,1.7,0.528,0.9,1.1,2,0,0,0.5,0.4,0.5,2.5
211,Serge Ibaka\ibakase01,PF,20,OKC,73,0,18.1,2.8,5.1,0.543,0,0,0.5,2.7,5,0.543,0.545,0.8,1.3,0.63,1.9,3.5,5.4,0.1,0.3,1.3,0.9,2.7,6.3
212,Andre Iguodala\iguodan01,SF,26,PHI,82,82,38.9,6,13.7,0.443,1.1,3.7,0.31,4.9,10,0.492,0.485,3.8,5.2,0.733,1,5.5,6.5,5.8,1.7,0.7,2.7,1.8,17.1
213,Zydrunas Ilgauskas\ilgauzy01,C,34,CLE,64,6,20.9,3,6.8,0.443,0.2,0.4,0.478,2.9,6.5,0.441,0.455,1.2,1.6,0.743,1.8,3.6,5.4,0.8,0.2,0.8,1,2.9,7.4
214,Didier Ilunga-Mbenga\mbengdj01,C,29,LAL,49,2,7.2,1,2.1,0.466,0,0,,1,2.1,0.466,0.466,0.2,0.4,0.474,0.7,1.1,1.8,0.2,0.1,0.6,0.3,1.1,2.1
215,Ersan İlyasova\ilyaser01,PF,22,MIL,81,31,23.4,4,9,0.443,1,3,0.336,3,6,0.496,0.499,1.4,2,0.715,1.9,4.4,6.4,1,0.7,0.3,0.9,3.1,10.4
216,Allen Iverson*\iversal01,SG-PG,34,TOT,28,24,30.9,4.9,11.3,0.43,0.3,0.9,0.36,4.5,10.4,0.436,0.445,3.7,4.7,0.794,0.6,2.3,2.8,4,0.7,0.1,2.3,1.7,13.8
216,Allen Iverson*\iversal01,PG,34,MEM,3,0,22.3,5,8.7,0.577,0.3,0.3,1,4.7,8.3,0.56,0.596,2,4,0.5,0.3,1,1.3,3.7,0.3,0,2.3,1.7,12.3
216,Allen Iverson*\iversal01,SG,34,PHI,25,24,31.9,4.8,11.6,0.417,0.3,1,0.333,4.5,10.6,0.425,0.431,3.9,4.8,0.824,0.6,2.4,3,4.1,0.7,0.1,2.3,1.7,13.9
217,Royal Ivey\iveyro01,SG,28,TOT,44,0,7.4,0.8,1.9,0.422,0.3,0.8,0.4,0.5,1.1,0.438,0.506,0.2,0.3,0.75,0.1,0.6,0.8,0.6,0.4,0,0.3,0.9,2.1
217,Royal Ivey\iveyro01,SG,28,PHI,26,0,9.1,1,2.1,0.473,0.5,0.9,0.5,0.5,1.2,0.452,0.582,0.2,0.3,0.857,0.2,0.8,1,0.7,0.4,0.1,0.2,1,2.7
217,Royal Ivey\iveyro01,SG,28,MIL,18,0,5,0.5,1.6,0.321,0.1,0.6,0.182,0.4,0.9,0.412,0.357,0.2,0.3,0.6,0.1,0.4,0.4,0.6,0.5,0,0.3,0.8,1.3
218,Jarrett Jack\jackja01,PG,26,TOR,82,43,27.4,3.9,8.2,0.481,1,2.4,0.412,2.9,5.8,0.511,0.542,2.5,2.9,0.842,0.4,2.3,2.7,5,0.7,0.1,2,1.8,11.4
219,Cedric Jackson\jacksce01,PG,23,TOT,12,0,6.2,0.5,1.7,0.3,0.1,0.5,0.167,0.4,1.2,0.357,0.325,0.6,1,0.583,0.2,0.5,0.7,1.2,0.3,0.2,0.9,0.6,1.7
219,Cedric Jackson\jacksce01,PG,23,CLE,5,0,2,0,0.4,0,0,0.2,0,0,0.2,0,0,0.2,0.8,0.25,0,0.2,0.2,0.4,0,0,0.2,0,0.2
219,Cedric Jackson\jacksce01,PG,23,SAS,3,0,8.3,0.7,2.3,0.286,0,0.7,0,0.7,1.7,0.4,0.286,1,1.3,0.75,0.3,1,1.3,2,1,0.7,0.7,0.7,2.3
219,Cedric Jackson\jacksce01,PG,23,WAS,4,0,9.8,1,2.8,0.364,0.3,0.8,0.333,0.8,2,0.375,0.409,0.8,1,0.75,0.3,0.5,0.8,1.5,0,0,2,1.3,3
220,Darnell Jackson\jacksda01,PF,24,TOT,28,0,4.4,0.3,1.1,0.3,0,0.1,0.25,0.3,0.9,0.308,0.317,0.1,0.2,0.667,0.3,0.5,0.8,0.1,0.1,0.1,0.5,0.8,0.8
220,Darnell Jackson\jacksda01,PF,24,CLE,27,0,4.2,0.3,0.9,0.32,0,0.1,0.333,0.3,0.8,0.318,0.34,0.1,0.2,0.667,0.3,0.4,0.7,0.1,0.1,0.1,0.5,0.7,0.8
220,Darnell Jackson\jacksda01,PF,24,MIL,1,0,9,1,5,0.2,0,1,0,1,4,0.25,0.2,0,0,,1,1,2,0,0,0,0,2,2
221,Stephen Jackson\jacksst02,SG-PF,31,TOT,81,81,38.6,7.4,17.5,0.423,1.6,4.9,0.328,5.8,12.7,0.46,0.469,4.2,5.4,0.779,1,4,5,3.7,1.6,0.5,3.2,2.4,20.6
221,Stephen Jackson\jacksst02,PF,31,GSW,9,9,33.3,6.2,14.8,0.421,1.2,4.4,0.275,5,10.3,0.484,0.462,2.9,4.1,0.703,0.7,3.2,3.9,4.7,1.6,0.7,2.9,1.8,16.6
221,Stephen Jackson\jacksst02,SG,31,CHA,72,72,39.3,7.6,17.8,0.423,1.6,4.9,0.334,5.9,12.9,0.457,0.469,4.3,5.5,0.786,1,4.1,5.1,3.6,1.6,0.5,3.2,2.5,21.1
222,LeBron James\jamesle01,SF,25,CLE,76,76,39,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1,3.4,1.6,29.7
